Date,Close
23/02/2020,"9.942,70"
24/02/2020,"9.662,70"
25/02/2020,"9.317,20"
26/02/2020,"8.800,30"
27/02/2020,"8.818,60"
28/02/2020,"8.697,50"
29/02/2020,"8.543,70"
1/03/2020,"8.540,00"
2/03/2020,"8.904,80"
3/03/2020,"8.761,40"
4/03/2020,"8.757,90"
5/03/2020,"9.060,30"
6/03/2020,"9.134,80"
7/03/2020,"8.887,80"
8/03/2020,"8.034,10"
9/03/2020,"7.933,00"
10/03/2020,"7.891,20"
11/03/2020,"7.935,10"
12/03/2020,"4.826,00"
13/03/2020,"5.584,30"
14/03/2020,"5.182,70"
15/03/2020,"5.366,30"
16/03/2020,"5.030,00"
17/03/2020,"5.261,10"
18/03/2020,"5.361,40"
19/03/2020,"6.172,00"
20/03/2020,"6.205,30"
21/03/2020,"6.186,20"
22/03/2020,"5.822,10"
23/03/2020,"6.468,90"
24/03/2020,"6.744,60"
25/03/2020,"6.678,90"
26/03/2020,"6.725,10"
27/03/2020,"6.373,40"
28/03/2020,"6.233,70"
29/03/2020,"5.890,40"
30/03/2020,"6.391,00"
31/03/2020,"6.412,50"
1/04/2020,"6.638,50"
2/04/2020,"6.800,50"
3/04/2020,"6.735,90"
4/04/2020,"6.857,40"
5/04/2020,"6.772,70"
6/04/2020,"7.332,30"
7/04/2020,"7.185,20"
8/04/2020,"7.361,20"
9/04/2020,"7.289,00"
10/04/2020,"6.863,10"
11/04/2020,"6.867,80"
12/04/2020,"6.917,60"
13/04/2020,"6.841,30"
14/04/2020,"6.850,90"
15/04/2020,"6.629,10"
16/04/2020,"7.085,60"
17/04/2020,"7.035,80"
18/04/2020,"7.230,80"
19/04/2020,"7.122,90"
20/04/2020,"6.833,50"
21/04/2020,"6.842,50"
22/04/2020,"7.112,90"
23/04/2020,"7.488,50"
24/04/2020,"7.503,80"
25/04/2020,"7.540,40"
26/04/2020,"7.678,90"
27/04/2020,"7.766,00"
28/04/2020,"7.746,90"
29/04/2020,"8.770,90"
30/04/2020,"8.629,00"
1/05/2020,"8.821,60"
2/05/2020,"8.966,30"
3/05/2020,"8.885,50"
4/05/2020,"8.874,70"
5/05/2020,"9.001,00"
6/05/2020,"9.151,40"
7/05/2020,"9.979,80"
8/05/2020,"9.806,20"
9/05/2020,"9.554,60"
10/05/2020,"8.738,80"
11/05/2020,"8.579,80"
12/05/2020,"8.813,80"
13/05/2020,"9.298,70"
14/05/2020,"9.778,40"
15/05/2020,"9.318,00"
16/05/2020,"9.379,50"
17/05/2020,"9.677,70"
18/05/2020,"9.730,70"
19/05/2020,"9.773,30"
20/05/2020,"9.512,30"
21/05/2020,"9.059,00"
22/05/2020,"9.169,70"
23/05/2020,"9.177,00"
24/05/2020,"8.728,20"
25/05/2020,"8.898,20"
26/05/2020,"8.842,50"
27/05/2020,"9.199,10"
28/05/2020,"9.572,20"
29/05/2020,"9.424,80"
30/05/2020,"9.692,50"
31/05/2020,"9.454,80"
1/06/2020,"10.189,30"
2/06/2020,"9.527,60"
3/06/2020,"9.667,20"
4/06/2020,"9.794,40"
5/06/2020,"9.631,20"
6/06/2020,"9.669,60"
7/06/2020,"9.742,60"
8/06/2020,"9.777,90"
9/06/2020,"9.768,80"
10/06/2020,"9.878,80"
11/06/2020,"9.283,20"
12/06/2020,"9.466,60"
13/06/2020,"9.471,30"
14/06/2020,"9.345,30"
15/06/2020,"9.425,40"
16/06/2020,"9.523,50"
17/06/2020,"9.464,60"
18/06/2020,"9.388,10"
19/06/2020,"9.314,00"
20/06/2020,"9.358,80"
21/06/2020,"9.296,40"
22/06/2020,"9.683,70"
23/06/2020,"9.624,60"
24/06/2020,"9.302,00"
25/06/2020,"9.247,50"
26/06/2020,"9.160,00"
27/06/2020,"9.008,30"
28/06/2020,"9.124,00"
29/06/2020,"9.185,40"
30/06/2020,"9.135,40"
1/07/2020,"9.229,90"
2/07/2020,"9.085,10"
3/07/2020,"9.067,10"
4/07/2020,"9.134,40"
5/07/2020,"9.081,00"
6/07/2020,"9.339,00"
7/07/2020,"9.256,00"
8/07/2020,"9.429,90"
9/07/2020,"9.235,70"
10/07/2020,"9.285,10"
11/07/2020,"9.233,30"
12/07/2020,"9.300,80"
13/07/2020,"9.243,60"
14/07/2020,"9.253,40"
15/07/2020,"9.198,70"
16/07/2020,"9.135,30"
17/07/2020,"9.155,80"
18/07/2020,"9.170,20"
19/07/2020,"9.208,00"
20/07/2020,"9.162,40"
21/07/2020,"9.387,30"
22/07/2020,"9.513,70"
23/07/2020,"9.599,60"
24/07/2020,"9.546,40"
25/07/2020,"9.704,10"
26/07/2020,"9.932,50"
27/07/2020,"11.022,80"
28/07/2020,"10.908,50"
29/07/2020,"11.105,90"
30/07/2020,"11.096,20"
31/07/2020,"11.333,40"
1/08/2020,"11.803,10"
2/08/2020,"11.066,80"
3/08/2020,"11.224,40"
4/08/2020,"11.184,70"
5/08/2020,"11.735,10"
6/08/2020,"11.757,10"
7/08/2020,"11.592,00"
8/08/2020,"11.764,30"
9/08/2020,"11.681,20"
10/08/2020,"11.889,20"
11/08/2020,"11.390,40"
12/08/2020,"11.557,20"
13/08/2020,"11.770,90"
14/08/2020,"11.750,80"
15/08/2020,"11.845,30"
16/08/2020,"11.899,00"
17/08/2020,"12.282,60"
18/08/2020,"11.947,60"
19/08/2020,"11.750,20"
20/08/2020,"11.856,90"
21/08/2020,"11.529,20"
22/08/2020,"11.661,30"
23/08/2020,"11.641,60"
24/08/2020,"11.753,50"
25/08/2020,"11.324,80"
26/08/2020,"11.462,30"
27/08/2020,"11.327,40"
28/08/2020,"11.527,40"
29/08/2020,"11.468,10"
30/08/2020,"11.702,00"
31/08/2020,"11.644,20"
1/09/2020,"11.914,90"
2/09/2020,"11.413,30"
3/09/2020,"10.168,80"
4/09/2020,"10.472,50"
5/09/2020,"10.092,20"
6/09/2020,"10.296,40"
7/09/2020,"10.376,90"
8/09/2020,"10.126,60"
9/09/2020,"10.224,60"
10/09/2020,"10.339,70"
11/09/2020,"10.390,20"
12/09/2020,"10.441,90"
13/09/2020,"10.326,00"
14/09/2020,"10.675,30"
15/09/2020,"10.785,30"
16/09/2020,"10.949,50"
17/09/2020,"10.941,30"
18/09/2020,"10.933,00"
19/09/2020,"11.081,80"
20/09/2020,"10.921,50"
21/09/2020,"10.416,80"
22/09/2020,"10.531,50"
23/09/2020,"10.237,30"
24/09/2020,"10.739,40"
25/09/2020,"10.688,80"
26/09/2020,"10.727,90"
27/09/2020,"10.776,20"
28/09/2020,"10.693,20"
29/09/2020,"10.840,90"
30/09/2020,"10.776,10"
1/10/2020,"10.620,50"
2/10/2020,"10.572,30"
3/10/2020,"10.544,20"
4/10/2020,"10.672,90"
5/10/2020,"10.789,50"
6/10/2020,"10.602,60"
7/10/2020,"10.670,90"
8/10/2020,"10.924,10"
9/10/2020,"11.054,20"
10/10/2020,"11.298,40"
11/10/2020,"11.371,00"
12/10/2020,"11.533,90"
13/10/2020,"11.423,80"
14/10/2020,"11.420,40"
15/10/2020,"11.503,00"
16/10/2020,"11.322,00"
17/10/2020,"11.362,10"
18/10/2020,"11.506,90"
19/10/2020,"11.753,40"
20/10/2020,"11.913,50"
21/10/2020,"12.808,70"
22/10/2020,"12.974,60"
23/10/2020,"12.934,10"
24/10/2020,"13.117,20"
25/10/2020,"13.032,20"
26/10/2020,"13.061,60"
27/10/2020,"13.657,80"
28/10/2020,"13.278,90"
29/10/2020,"13.457,20"
30/10/2020,"13.559,90"
31/10/2020,"13.797,30"
1/11/2020,"13.759,40"
2/11/2020,"13.561,40"
3/11/2020,"14.019,90"
4/11/2020,"14.145,60"
5/11/2020,"15.587,10"
6/11/2020,"15.577,90"
7/11/2020,"14.828,40"
8/11/2020,"15.483,70"
9/11/2020,"15.327,20"
10/11/2020,"15.303,60"
11/11/2020,"15.695,80"
12/11/2020,"16.294,70"
13/11/2020,"16.324,20"
14/11/2020,"16.071,00"
15/11/2020,"15.953,00"
16/11/2020,"16.715,80"
17/11/2020,"17.662,30"
18/11/2020,"17.774,60"
19/11/2020,"17.803,50"
20/11/2020,"18.675,20"
21/11/2020,"18.687,20"
22/11/2020,"18.412,90"
23/11/2020,"18.379,60"
24/11/2020,"19.152,60"
25/11/2020,"18.723,00"
26/11/2020,"17.162,00"
27/11/2020,"17.127,10"
28/11/2020,"17.730,70"
29/11/2020,"18.185,50"
